,날짜,종가,전일비,시가,고가,저가,거래량
0,2020.07.31,"58,700",300,"59,500","59,600","58,400","9,508,948"
1,2020.07.30,"59,000",0,"59,700","60,100","59,000","19,285,354"
2,2020.07.29,"59,000",400,"60,300","60,400","58,600","36,476,611"
3,2020.07.28,"58,600","3,000","57,000","58,800","56,400","48,431,566"
4,2020.07.27,"55,600","1,400","54,300","55,700","54,300","21,054,421"
5,2020.07.24,"54,200",100,"54,000","54,400","53,700","10,994,535"
6,2020.07.23,"54,100",600,"54,700","54,700","53,800","16,214,932"
7,2020.07.22,"54,700",600,"55,300","55,500","54,700","12,885,057"
8,2020.07.21,"55,300","1,100","55,200","55,400","54,800","18,297,260"
9,2020.07.20,"54,200",200,"54,800","54,800","54,000","10,507,530"
10,2020.07.17,"54,400",600,"54,200","54,700","54,100","10,096,174"
11,2020.07.16,"53,800",900,"54,800","54,800","53,800","16,779,127"
12,2020.07.15,"54,700",900,"54,400","55,000","54,300","24,051,450"
13,2020.07.14,"53,800",400,"53,700","53,800","53,200","14,269,484"
14,2020.07.13,"53,400",700,"53,300","53,800","53,100","12,240,188"
15,2020.07.10,"52,700",100,"53,100","53,200","52,300","13,714,746"
16,2020.07.09,"52,800",200,"53,200","53,600","52,800","17,054,850"
17,2020.07.08,"53,000",400,"53,600","53,900","52,900","19,664,652"
18,2020.07.07,"53,400","1,600","55,800","55,900","53,400","30,760,032"
19,2020.07.06,"55,000","1,400","54,000","55,000","53,800","19,856,623"
20,2020.07.03,"53,600",700,"53,000","53,600","52,700","11,887,868"
21,2020.07.02,"52,900",300,"52,100","52,900","52,100","14,142,583"
22,2020.07.01,"52,600",200,"53,400","53,600","52,400","16,706,143"
23,2020.06.30,"52,800",400,"53,900","53,900","52,800","21,157,172"
24,2020.06.29,"52,400",900,"52,500","53,200","52,000","17,776,925"
25,2020.06.26,"53,300","1,400","52,800","53,900","52,200","21,575,360"
26,2020.06.25,"51,900","1,000","52,100","53,000","51,900","18,541,624"
27,2020.06.24,"52,900","1,500","51,900","53,900","51,600","24,519,552"
28,2020.06.23,"51,400",600,"52,500","52,800","51,100","18,086,152"
29,2020.06.22,"52,000",900,"52,000","52,600","51,800","13,801,350"
30,2020.06.19,"52,900",600,"52,600","52,900","51,600","18,157,985"
31,2020.06.18,"52,300",100,"52,200","52,300","51,600","15,982,926"
32,2020.06.17,"52,200",100,"52,100","52,900","51,300","26,672,595"
33,2020.06.16,"52,100","2,200","51,200","52,100","50,600","21,808,375"
34,2020.06.15,"49,900","2,400","51,400","52,000","49,900","28,772,921"
35,2020.06.12,"52,300","2,000","52,100","52,800","51,500","26,976,019"
36,2020.06.11,"54,300","1,100","54,500","55,100","53,200","33,815,123"
37,2020.06.10,"55,400",100,"55,100","55,900","54,900","16,742,493"
38,2020.06.09,"55,500",600,"55,800","56,500","54,400","23,998,831"
39,2020.06.08,"54,900",600,"56,400","56,500","54,700","25,634,965"
40,2020.06.05,"55,500",900,"54,400","55,900","54,000","22,743,629"
41,2020.06.04,"54,600",100,"55,800","57,000","54,600","40,220,334"
42,2020.06.03,"54,500","3,100","51,800","55,000","51,700","49,257,814"
43,2020.06.02,"51,400",200,"51,000","51,500","50,800","14,247,933"
44,2020.06.01,"51,200",500,"50,800","51,200","50,600","16,949,183"
45,2020.05.29,"50,700",300,"50,000","50,700","49,700","27,596,961"
46,2020.05.28,"50,400",500,"51,100","51,200","49,900","31,309,318"
47,2020.05.27,"49,900",650,"48,950","50,000","48,800","19,548,479"
48,2020.05.26,"49,250",400,"48,700","49,450","48,600","15,127,490"
49,2020.05.25,"48,850",100,"48,750","48,900","48,450","14,337,913"
